id;code_article;designation;prix_unitaire_ht;prix_unitaire_ttc;taux_tva;photo;photo_content_type
1;Buckinghamshire;Licensed;39038;75169;32787;../fake-data/blob/hipster.png;image/png
2;lavender de backing;Re-contextualized Home visualize;42414;89361;71206;../fake-data/blob/hipster.png;image/png
3;fuchsia;Fresh Pizza;54931;90605;64243;../fake-data/blob/hipster.png;image/png
4;b Money bifurcated;c des transmitting;92277;71872;27802;../fake-data/blob/hipster.png;image/png
5;Borders Mouse Intelligent;Outdoors;63963;5895;34416;../fake-data/blob/hipster.png;image/png
6;Licensed SAS Poitou-Charentes;Ball grow matrix;93698;20841;25406;../fake-data/blob/hipster.png;image/png
7;Small capacitor;payment Shoes Dinar;25387;9662;51755;../fake-data/blob/hipster.png;image/png
8;Agent Concrete;withdrawal c;12067;21963;11328;../fake-data/blob/hipster.png;image/png
9;solid;back generate;65341;82658;23420;../fake-data/blob/hipster.png;image/png
10;synergistic back Account;Sleek circuit;13882;68341;30060;../fake-data/blob/hipster.png;image/png
