id;code;date_vente;commentaire
1;programming Refined;2021-09-06T05:13:03;e-markets Salvador
2;Mexique Midi-Pyrénées;2021-09-06T03:22:55;a Adolphe
3;Lorraine Outdoors matrix;2021-09-05T16:39:22;Cheese Mouffetard scalable
4;cross-platform Bangladesh Soft;2021-09-05T14:09:28;generation
5;b users;2021-09-05T14:12:01;Sleek IB a
6;b;2021-09-05T22:05:32;content-based Renminbi Uzbekistan
7;Intuitive a;2021-09-05T20:06:22;Sausages Monetary Incredible
8;support c;2021-09-05T12:19:40;Ergonomic Organic Lepic
9;plum;2021-09-06T00:47:45;multi-tasking
10;a discrete program;2021-09-06T05:36:07;Checking
